"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"LDB1",4.42308872119373e-07,0.552432625045382,0.261,0.116,0.0143462882671919
"PLK3",4.42968873448978e-07,0.236916585752539,0.473,0.261,0.0143676954103176
"TIMM17A",4.43126106297456e-07,0.169956707574624,0.424,0.219,0.014372795257758
"ARHGEF10L",4.51303414810507e-07,0.619185688158476,0.3,0.141,0.0146380262593788
"PDLIM5",4.550101765692e-07,0.34845967019797,0.458,0.252,0.014758255077022
"LINC00152",4.55356097685098e-07,0.3650768883275,0.473,0.268,0.0147694750284162
"MYEF2",4.5575067780543e-07,0.319089392888089,0.369,0.188,0.0147822732346191
"PHLDB2",4.5730076298519e-07,0.658032369995942,0.276,0.128,0.0148325502474246
"C19orf25",4.57650885632273e-07,0.229657464734267,0.433,0.227,0.0148439064754828
"SEC16A",4.59204580171257e-07,0.308196240182064,0.345,0.168,0.0148943005578547
"ZNF333",4.59710346149341e-07,0.223448762581454,0.261,0.114,0.0149107050773539
"POT1",4.61069404455114e-07,0.611241584011791,0.261,0.117,0.0149547861335016
"IGFBP6",4.62669995173722e-07,0.614965471146777,0.483,0.29,0.0150067012934597
"FAF2",4.66437183038873e-07,0.40973371651614,0.468,0.258,0.0151288900318658
"PLOD3",4.67988440142302e-07,0.266871977383412,0.567,0.328,0.0151792050560156
"RC3H2",4.72953411308296e-07,0.391382907490993,0.355,0.177,0.0153402438957846
"WFS1",4.76737613410483e-07,0.546170193430669,0.251,0.11,0.015462984490969
